"o_orderkey","o_userkey","o_totalprice","o_ordercreatedate","o_fulfillmentdate"
"1","47","659.94","2023-07-04","2024-03-25"
"2","37","755.74","2023-06-18","2023-10-23"
"3","8","1370.51","2024-02-17","2024-04-10"
"4","16","1213.39","2023-10-22","2024-02-11"
"5","11","119.54","2023-08-12",""
"6","40","1735.56","2023-05-18",""
"7","20","620.95","2023-06-25",""
"8","18","116.25","2023-07-15",""
"9","50","96.92","2024-04-07","2024-04-10"
"10","3","922.77","2023-07-10","2023-07-15"
"11","14","31.66","2023-07-15","2024-02-02"
"12","14","1569.82","2023-05-26",""
"13","16","497.91","2024-01-16",""
"14","7","690.81","2024-01-18",""
"15","7","1112.14","2024-02-27","2024-03-25"
"16","7","43.25","2023-10-30","2023-11-18"
"17","48","1419.42","2023-04-18","2024-01-28"
"18","44","1588.83","2023-08-19",""
"19","40","1927.65","2023-10-13","2024-02-02"
"20","46","126.89","2023-04-21","2023-12-05"
"21","17","960.44","2024-04-07","2024-04-08"
"22","2","531.57","2024-03-30","2024-04-03"
"23","17","564.66","2023-10-23",""
"24","45","1117.47","2024-01-27",""
"25","40","1244.79","2023-12-22","2024-01-15"
"26","26","1781.61","2023-11-27","2024-01-30"
"27","16","557.02","2023-11-07","2023-11-21"
"28","12","1275.24","2023-07-30","2023-10-27"
"29","44","1651.85","2023-10-31",""
"30","8","423.42","2023-05-06",""
"31","21","900.85","2024-01-17","2024-01-20"
"32","18","514.79","2024-01-26","2024-02-12"
"33","14","1024.25","2023-05-08",""
"34","40","623.98","2023-07-02","2024-01-09"
"35","41","1507.93","2023-06-14","2023-08-14"
"36","13","1142.26","2023-12-14","2024-01-02"
"37","7","1192.31","2023-06-01","2024-01-05"
"38","44","226.87","2023-11-30","2023-12-21"
"39","29","1549.89","2024-03-19","2024-03-20"
"40","50","1835.72","2024-02-09","2024-04-06"
"41","6","591.96","2023-08-01",""
"42","36","1081.99","2024-02-05","2024-04-04"
"43","38","388.01","2023-08-07",""
"44","16","1783.01","2023-07-07","2024-02-28"
"45","34","1437.25","2023-07-01","2024-02-26"
"46","24","1568.54","2023-05-31","2023-07-18"
"47","13","1826.34","2023-08-15","2023-09-19"
"48","18","396.34","2024-01-11",""
"49","39","871.28","2023-12-07",""
"50","6","414.89","2023-05-30",""
"51","17","573.99","2024-03-15","2024-04-03"
"52","24","1500.03","2023-05-10",""
"53","47","1532.65","2023-06-15",""
"54","33","850.61","2024-02-09","2024-02-25"
"55","9","1288.72","2023-10-30","2024-02-22"
"56","22","1741.56","2024-02-04",""
"57","33","824.39","2023-11-12","2023-11-26"
"58","17","1326.27","2024-01-08",""
"59","24","1024.89","2023-07-18","2023-09-14"
"60","3","1108.74","2023-06-23",""
"61","43","1836.45","2023-08-06",""
"62","9","1319.44","2024-02-18",""
"63","35","452.12","2023-11-10",""
"64","50","1640.02","2023-08-27","2024-04-11"
"65","27","451.73","2023-06-30","2024-04-08"
"66","44","279.17","2024-01-08",""
"67","43","700.7","2023-04-25",""
"68","20","481.14","2023-08-16",""
"69","24","1577.99","2024-01-15",""
"70","14","302.18","2023-09-30","2024-01-15"
"71","36","1635.86","2023-08-07",""
"72","17","1438.13","2023-10-23",""
"73","43","1425.12","2023-10-09",""
"74","17","1247.29","2023-10-06","2023-12-20"
"75","27","1722.3","2023-05-10","2023-06-11"
"76","29","213.08","2023-06-07","2024-01-06"
"77","39","99.08","2024-02-10","2024-02-21"
"78","44","230.57","2023-07-14","2023-08-04"
"79","15","1811.21","2023-11-06",""
"80","5","420.46","2024-01-09","2024-03-07"
"81","2","267.37","2024-03-23",""
"82","32","774.13","2023-05-27",""
"83","8","867.17","2023-05-19","2023-10-28"
"84","14","1408.62","2023-09-03","2023-10-13"
"85","11","344.24","2024-03-16","2024-04-02"
"86","44","1298.12","2023-10-16",""
"87","37","455.83","2023-12-06",""
"88","39","1284.5","2023-09-09",""
"89","8","41.21","2023-12-24","2024-03-24"
"90","17","1116.05","2023-07-03",""
"91","6","1790.45","2024-01-09",""
"92","33","895.51","2023-11-06","2023-11-13"
"93","47","1913.25","2024-01-17",""
"94","16","1455.61","2024-01-22",""
"95","14","674.29","2024-03-10",""
"96","4","1735.05","2023-09-13",""
"97","15","896.73","2023-10-06",""
"98","43","94.26","2024-02-28","2024-03-09"
"99","22","359.07","2023-08-09","2024-02-16"
"100","19","412.44","2023-12-23","2024-03-29"
"101","27","1749.49","2023-10-11",""
"102","22","1306.45","2023-09-04","2023-09-17"
"103","26","284.94","2023-09-12",""
"104","38","1502.94","2023-07-09","2023-07-16"
"105","41","1478.1","2024-02-17","2024-03-15"
"106","14","1810.96","2024-01-22","2024-03-11"
"107","29","65.42","2023-06-18","2024-02-12"
"108","40","1261.77","2023-09-08",""
"109","30","306.49","2023-09-25","2024-02-10"
"110","17","47.28","2023-08-02",""
"111","31","1900.31","2024-04-13",""
"112","40","1122.05","2023-05-24",""
"113","25","217.89","2023-08-06","2023-11-21"
"114","47","944.77","2023-07-09","2023-12-15"
"115","47","66.37","2023-09-03","2024-01-17"
"116","48","402.4","2024-02-02",""
"117","19","903.8","2023-10-11",""
"118","11","555.89","2023-10-13","2023-11-30"
"119","5","1921.04","2023-10-24","2023-11-26"
"120","16","838.84","2023-09-25","2024-01-16"
"121","21","1937.74","2023-05-13",""
"122","14","935.42","2023-10-08",""
"123","44","410.05","2023-08-20",""
"124","29","146.96","2023-06-11",""
"125","30","785.04","2024-03-23","2024-04-08"
"126","27","1021.77","2023-11-09","2024-04-04"
"127","33","1385.23","2023-05-27","2023-09-11"
"128","33","943.47","2024-03-09","2024-03-16"
"129","43","1999.55","2024-02-09","2024-04-04"
"130","16","395.46","2024-02-13","2024-03-10"
"131","26","241.89","2023-06-16",""
"132","25","1421.51","2023-08-24","2023-11-28"
"133","14","324.93","2023-10-06",""
"134","19","1094.28","2024-04-08","2024-04-10"
"135","4","1535.32","2024-01-27","2024-02-20"
"136","45","620.16","2023-05-24","2023-09-15"
"137","49","652.69","2023-08-22","2023-09-02"
"138","6","758.8","2023-04-17","2023-12-02"
"139","2","1153.94","2023-04-25",""
"140","35","1988.41","2024-01-25","2024-03-11"
"141","47","1105.63","2023-08-22",""
"142","22","1410.18","2023-05-04","2024-01-05"
"143","15","568.93","2023-09-16","2023-09-21"
"144","33","1813.49","2023-05-02",""
"145","37","1018.38","2023-05-04","2023-06-01"
"146","45","1579.13","2023-05-20",""
"147","7","25.93","2024-01-18",""
"148","29","1191.46","2023-08-03",""
"149","19","1103.43","2023-08-25",""
"150","15","262.52","2023-05-03","2024-03-15"
"151","42","1002.87","2023-08-15","2024-03-08"
"152","30","1409.01","2023-05-05",""
"153","26","1884.55","2024-01-26",""
"154","25","289.31","2024-01-16",""
"155","17","687.49","2023-08-13","2023-11-14"
"156","33","147.32","2024-01-10",""
"157","44","1591.73","2023-09-12","2023-11-11"
"158","9","1993.11","2023-08-31",""
"159","11","1056.45","2023-10-31","2024-02-15"
"160","20","1384.92","2024-02-12","2024-04-03"
"161","17","1822.54","2024-03-04","2024-03-06"
"162","33","1906.31","2024-02-08","2024-03-05"
"163","17","133.39","2024-01-10","2024-03-14"
"164","26","1422.17","2023-05-09",""
"165","4","90.08","2023-08-29","2024-02-17"
"166","48","995.87","2023-11-04",""
"167","30","29.04","2023-05-11",""
"168","43","990.86","2024-01-13","2024-03-11"
"169","34","1593.9","2023-10-08","2024-03-28"
"170","10","729.5","2023-07-14",""
"171","34","1265.07","2023-08-24",""
"172","50","1121.45","2024-01-25","2024-02-17"
"173","35","1869.63","2023-09-24","2024-02-26"
"174","34","256.76","2024-03-14","2024-03-27"
"175","47","962.54","2023-06-01","2023-10-05"
"176","29","1904.91","2024-02-22",""
"177","20","1796.06","2023-11-30","2024-02-26"
"178","24","609.63","2024-03-07",""
"179","9","1872.54","2023-09-05",""
"180","28","638.15","2023-12-15","2024-03-11"
"181","43","405.76","2023-11-17",""
"182","24","125.37","2023-12-01","2024-04-03"
"183","30","1328.93","2023-07-14",""
"184","12","1272.02","2024-03-30","2024-03-30"
"185","36","1688.95","2023-09-30",""
"186","17","994.67","2023-07-25","2024-01-18"
"187","16","1818.91","2023-09-01",""
"188","14","1820.87","2023-09-16",""
"189","32","71.38","2023-07-21",""
"190","24","1046.04","2023-07-17",""
"191","12","1133.61","2023-10-17",""
"192","12","916.29","2023-04-17",""
"193","39","1809.87","2023-07-27",""
"194","43","1765.02","2023-08-13","2023-11-08"
"195","17","1997.17","2023-06-24","2024-03-01"
"196","34","409.9","2023-08-15",""
"197","29","658.81","2023-06-12",""
"198","17","572.55","2023-12-24","2024-03-14"
"199","8","814.95","2023-08-13",""
"200","19","1878.34","2023-06-26",""
